"time_spent_at_DM_booth","time_spent_at_DR_OM_booth","total_time_spent_at_show","percent_buying_from_DM_past","historical_sales_index","sales_frequency","length_of_relationship","number_of_referrals_offered","importance_of_image_quality","importance_of_diagnostic_flexibility","importance_of_software_intergation","importance_of_technical_assistance","importance_of_price","trust_in_tv_ads","trust_in_radio_ads","trust_in_internet_ads","trust_in_dental_magazine_ads","trust_in_peers"
12,20,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
12,21,149,32,22,3,4,0,5,5,5,6,7,"5","5","4","5",5
12,21,151,31,21,3,5,0,5,5,5,6,7,"5","5","4","5",5
13,21,150,33,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
12,21,150,32,22,3,4,1,5,5,5,6,7,"5","4","4","5",6
13,21,150,32,21,3,4,0,5,5,5,6,6,"5","5","4","5",6
45,26,130,100,58,6,8,12,7,7,4,5,5,"5","4","4","6",6
12,20,149,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
37,78,180,45,64,4,9,2,6,6,6,6,6,"4","4","6","6",7
11,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",5
45,26,130,100,59,6,8,12,7,7,4,5,4,"5","4","4","7",6
36,78,180,45,64,4,9,3,6,6,6,6,6,"4","5","6","6",7
37,78,181,45,64,4,9,2,6,5,7,6,6,"5","5","6","6",7
12,21,151,32,20,3,4,1,5,5,5,6,7,"5","5","4","5",5
12,21,150,33,20,3,4,0,5,5,5,6,7,"5","4","4","5",6
35,78,180,45,63,4,9,3,6,6,6,6,6,"4","5","6","6",7
13,21,151,32,21,3,4,0,5,5,5,6,6,"5","5","4","6",6
36,79,180,45,64,4,9,2,6,6,6,6,6,"5","5","6","6",7
12,21,151,32,21,3,4,0,16,17,18,20,22,"5","4","4","5",5
11,21,149,33,21,3,4,0,5,5,5,6,7,"5","5","4","6",6
5,11,60,6,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,21,151,32,21,3,5,0,5,5,5,6,7,"5","5","4","5",6
44,26,130,100,58,6,8,12,7,7,4,6,4,"5","4","4","7",6
11,22,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",5
36,77,180,44,62,4,9,2,6,5,7,6,6,"4","4","6","6",7
6,10,61,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
45,25,130,100,58,6,8,12,7,7,5,6,4,"5","4","4","6",6
12,20,149,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,22,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,151,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
6,11,59,7,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
45,26,130,100,58,6,8,12,7,7,4,6,4,"5","4","4","7",6
13,20,150,31,20,3,4,1,5,5,4,6,7,"5","5","3","5",6
44,27,130,100,58,6,8,12,7,7,5,6,4,"5","4","4","6",6
6,11,61,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
36,78,181,44,64,4,9,2,6,6,6,6,6,"4","5","6","6",7
6,11,60,5,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
46,26,131,100,58,6,8,12,6,7,4,5,4,"5","4","4","7",6
12,21,150,33,21,3,4,1,5,5,5,6,6,"5","5","4","5",6
6,12,61,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
6,10,61,6,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
11,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","6",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
11,20,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
36,78,180,45,64,4,9,2,6,6,7,6,6,"5","5","6","6",7
12,21,151,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
6,11,61,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
13,21,150,33,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
5,11,60,5,9,1,9,0,4,4,4,7,7,"3","3","3","4",5
36,78,180,45,63,5,9,2,6,6,6,6,6,"4","5","6","6",7
6,10,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
37,78,180,45,65,5,9,2,6,6,6,6,6,"4","5","6","6",7
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,20,150,32,22,3,4,0,5,5,5,6,7,"4","5","4","5",6
12,20,150,32,20,3,4,1,5,5,5,6,7,"4","4","4","5",5
12,22,151,32,21,3,5,0,5,5,5,6,7,"4","4","4","5",5
12,21,151,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
36,78,180,45,64,4,9,2,6,5,6,6,6,"5","5","6","6",7
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
45,26,129,100,58,6,8,12,7,7,4,5,4,"5","5","3","7",6
5,11,60,5,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
6,11,60,6,9,1,9,0,4,4,4,6,7,"4","3","3","4",5
45,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","7",6
12,21,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",5
36,79,180,45,65,4,9,2,6,6,7,6,6,"4","5","6","6",7
12,21,149,32,21,3,4,1,5,5,5,6,7,"4","4","4","5",6
36,78,180,45,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
6,11,60,6,10,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
36,78,180,45,64,4,9,2,6,6,7,6,6,"4","5","6","5",7
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","3","3","4",5
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,31,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
36,78,180,45,64,4,9,2,6,5,6,6,6,"4","5","6","6",7
12,20,150,33,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
7,12,60,5,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
36,77,180,45,64,4,9,2,6,5,6,6,6,"4","5","6","6",7
13,21,149,32,21,3,4,1,5,5,5,6,7,"4","5","4","5",6
44,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","6",6
36,78,180,44,65,4,9,2,6,5,6,6,6,"4","5","6","6",7
36,78,180,45,64,5,9,2,6,6,7,6,6,"4","4","6","6",6
46,27,130,101,58,6,8,12,7,7,5,5,4,"5","4","4","7",6
6,10,60,6,10,1,8,0,4,4,4,7,7,"4","4","3","4",5
36,78,180,45,65,4,9,2,6,5,6,6,6,"5","5","6","6",7
36,78,180,44,65,4,9,2,6,5,6,6,6,"5","5","6","5",7
36,78,180,45,64,4,9,2,6,6,6,6,6,"4","4","6","6",7
12,21,149,32,21,3,4,1,5,5,5,6,7,"5","5","4","6",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"4","5","4","5",6
12,21,150,31,21,3,5,0,16,17,18,20,22,"5","4","4","6",5
13,21,151,32,20,3,4,1,5,5,5,6,7,"5","4","4","6",6
45,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","6",6
12,21,151,33,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
36,78,180,45,64,4,9,2,6,6,6,6,6,"5","5","6","6",7
12,21,150,32,21,3,4,0,5,5,5,6,7,"4","4","4","5",6
12,20,150,31,20,3,4,0,5,5,5,6,7,"4","4","4","5",5
5,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
13,22,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
12,21,150,33,21,3,4,1,5,5,5,6,7,"4","5","4","5",6
13,21,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
11,21,150,32,22,3,4,1,5,5,5,6,7,"4","4","4","5",6
12,21,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
12,21,149,33,21,3,4,0,5,5,5,6,7,"5","5","4","5",5
45,26,130,99,58,6,8,12,7,7,4,6,4,"5","4","4","7",6
45,26,130,100,58,6,8,12,7,7,5,6,5,"5","4","4","7",6
12,21,151,33,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
45,26,130,100,58,6,8,12,7,7,4,6,4,"5","4","3","7",6
12,21,150,31,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,151,31,22,3,4,1,5,5,5,6,7,"5","4","4","5",6
36,78,181,45,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
11,21,148,32,22,3,4,0,5,5,5,6,7,"5","5","4","6",5
37,78,180,45,65,4,9,2,6,5,6,6,6,"4","5","6","6",7
36,78,180,45,64,4,9,2,6,5,6,6,6,"4","4","6","6",7
12,22,150,32,21,3,4,1,5,5,5,6,6,"4","4","4","5",6
12,21,150,31,22,3,4,0,5,5,5,6,7,"5","4","4","5",6
11,21,149,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",5
12,21,150,33,22,3,4,1,5,5,5,6,7,"5","5","4","5",5
7,11,59,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"4","4","4","5",6
12,21,150,32,21,4,4,0,5,5,5,6,7,"5","5","4","5",6
46,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","7",6
12,21,150,31,20,3,4,0,5,5,5,6,7,"4","4","4","6",5
6,10,60,7,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
7,12,60,6,9,0,9,0,4,4,4,7,7,"4","3","3","4",5
12,21,149,32,21,3,4,0,16,17,18,20,22,"5","4","4","5",6
6,10,60,5,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","6",6
36,79,180,45,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
6,10,60,6,8,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,20,3,4,0,5,5,5,6,7,"5","5","4","5",5
12,22,150,32,21,3,4,0,5,5,5,6,7,"4","4","4","5",6
7,11,60,6,8,1,9,0,4,4,4,7,7,"3","4","3","4",5
6,11,60,7,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,31,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,151,32,21,3,4,1,5,5,5,6,7,"4","5","4","6",6
5,11,60,6,8,1,8,0,4,4,4,7,7,"4","4","3","4",5
36,78,181,45,64,4,9,2,6,5,6,6,6,"5","5","6","6",7
6,12,60,7,8,1,9,0,4,4,4,7,7,"4","3","3","4",5
11,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","6",5
12,21,150,33,20,3,4,0,5,5,5,6,7,"5","5","4","5",6
44,26,130,100,60,6,8,12,7,7,4,6,4,"5","4","4","6",6
45,25,130,100,57,6,8,12,18,18,17,20,19,"5","4","4","7",6
45,26,131,100,58,6,8,12,7,7,5,6,4,"5","4","3","6",6
12,22,150,32,21,3,4,1,5,5,5,6,6,"5","5","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
45,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","7",6
36,78,179,45,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
45,26,130,100,58,6,8,12,18,19,18,20,20,"5","4","4","7",6
11,21,149,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,151,33,21,3,4,0,5,5,5,6,7,"4","4","4","5",6
12,21,151,31,21,3,4,1,5,5,5,6,7,"5","4","4","5",5
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,22,150,31,22,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,22,3,4,1,5,5,5,6,7,"5","5","3","6",6
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
6,11,60,5,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,1,5,5,5,6,7,"4","5","4","5",6
36,78,180,45,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
12,22,150,32,21,3,4,1,5,5,5,7,7,"5","4","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,150,32,20,3,4,1,5,5,5,6,7,"5","5","4","5",5
5,11,60,6,8,1,8,0,4,4,4,7,7,"4","3","3","4",5
36,79,180,46,64,4,9,2,6,6,6,6,6,"4","5","6","6",7
36,78,180,45,64,5,9,2,7,6,6,6,6,"4","5","6","6",7
12,21,150,32,21,3,5,1,5,5,5,6,7,"5","4","4","5",6
13,21,149,31,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
45,26,129,100,58,6,8,12,6,7,4,6,4,"5","5","4","7",6
36,78,180,45,65,4,9,2,6,5,6,6,6,"5","5","6","6",7
12,20,150,31,21,3,4,0,5,5,5,6,7,"5","4","4","5",5
46,26,130,101,59,6,8,12,7,7,4,5,4,"5","4","4","7",6
12,21,150,31,21,3,4,0,5,5,5,6,7,"5","4","4","5",5
37,77,179,45,64,4,9,2,6,6,6,6,6,"4","5","6","6",7
45,27,130,100,57,6,8,12,6,7,4,5,5,"5","4","4","6",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",5
6,10,60,6,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,20,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,22,150,32,21,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,20,3,5,1,5,5,5,6,7,"4","4","4","5",6
12,21,150,32,20,3,4,0,5,5,5,6,7,"5","4","4","6",6
12,21,150,31,21,3,4,1,5,5,5,6,7,"5","5","4","5",5
13,21,150,32,21,3,4,1,5,5,5,6,7,"4","4","4","5",5
12,21,150,31,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
6,11,59,5,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
36,78,180,45,64,4,9,2,6,5,7,6,6,"4","5","6","6",7
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"4","5","4","6",5
45,26,131,100,58,6,8,12,6,7,4,6,5,"5","4","4","6",6
36,78,179,45,64,4,9,2,6,5,6,6,6,"4","4","6","6",7
46,25,131,100,59,6,8,12,6,7,4,6,5,"5","4","3","7",6
12,20,149,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,149,31,21,3,4,1,5,5,5,6,7,"5","5","4","5",5
36,78,180,45,64,4,9,2,6,6,6,6,6,"4","5","6","6",7
37,78,179,45,64,4,9,2,6,5,6,6,6,"4","5","6","6",7
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","3","3","4",5
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
36,78,180,45,64,4,9,2,6,5,7,6,6,"5","5","6","6",7
12,21,149,33,21,3,4,1,5,5,5,7,7,"4","4","4","5",6
12,21,149,33,22,3,4,1,5,5,5,6,7,"5","5","4","5",6
13,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
7,10,59,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
45,25,130,100,58,6,8,12,6,7,4,5,5,"5","4","4","7",6
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","3","3","4",5
6,11,61,5,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
13,22,149,32,20,3,4,0,5,5,5,6,7,"5","4","4","5",6
6,12,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,22,150,32,20,3,4,0,5,5,5,7,7,"5","4","4","5",6
36,78,180,45,63,4,9,2,6,5,6,6,6,"4","4","6","6",7
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
36,78,181,45,64,4,9,2,6,5,6,6,6,"5","5","6","6",7
45,26,130,100,58,6,8,12,6,7,4,5,5,"5","4","4","7",6
45,26,131,100,58,6,8,12,6,7,4,6,4,"5","4","3","6",6
12,20,150,32,21,3,4,0,5,5,5,6,7,"4","5","4","5",6
11,21,150,32,21,3,4,0,5,5,5,6,7,"4","5","4","5",6
12,21,150,32,22,3,4,1,5,5,5,6,7,"4","4","4","5",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
13,21,150,32,22,3,4,1,5,5,4,6,7,"5","5","4","6",6
6,11,60,6,8,1,9,0,4,4,5,7,7,"4","4","3","4",5
11,21,150,32,22,3,4,0,5,5,5,6,7,"5","5","4","5",5
45,26,131,99,57,6,8,12,7,7,5,6,4,"5","4","4","7",6
6,11,60,6,10,1,9,0,4,4,4,7,7,"4","3","3","4",6
13,21,150,32,20,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,151,32,21,3,4,0,5,5,5,6,6,"5","4","4","5",6
6,11,60,6,9,1,8,0,4,3,4,7,7,"4","4","3","4",5
36,78,180,45,64,4,9,2,6,6,6,5,6,"5","5","6","6",7
46,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","4","6",6
45,26,130,99,59,6,8,12,6,7,5,5,4,"5","4","3","7",6
46,27,130,100,58,6,8,12,7,7,4,6,4,"5","4","4","6",6
13,20,150,32,21,3,5,1,5,5,5,6,7,"5","4","4","5",6
35,79,180,46,64,5,9,2,6,5,6,6,6,"4","5","6","6",7
12,20,150,32,22,3,4,0,5,5,5,6,7,"5","4","4","5",6
11,21,151,32,21,3,4,0,5,5,5,6,7,"4","5","4","5",6
12,21,149,33,21,3,4,1,5,5,5,6,6,"5","5","4","5",6
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",6
5,11,59,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,32,21,3,4,0,5,5,5,6,7,"4","4","4","6",6
12,22,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
12,21,150,32,21,3,4,1,5,5,5,7,6,"5","4","4","5",6
12,21,150,33,21,3,4,0,5,5,5,7,7,"5","4","4","5",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
7,11,61,5,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,20,150,32,21,3,4,1,5,5,5,6,6,"4","5","4","5",6
6,11,61,6,9,1,8,0,4,4,4,7,7,"4","4","3","4",5
36,78,180,45,64,4,9,2,6,6,6,6,6,"4","5","6","6",7
6,11,60,6,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,150,33,22,3,4,0,5,5,5,6,7,"4","5","4","5",6
44,26,130,100,58,6,8,12,7,7,5,6,4,"5","4","4","7",6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",5
13,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",5
12,21,149,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,20,150,33,21,3,4,1,5,5,5,6,7,"4","5","4","5",6
45,26,130,100,57,6,8,12,7,7,4,6,5,"5","4","4","7",6
12,20,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","6",6
12,21,150,33,21,3,4,0,5,5,5,6,6,"5","4","4","6",6
13,22,149,31,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,22,151,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","6",6
45,27,130,100,58,6,8,12,6,7,4,6,5,"5","4","4","6",6
44,26,130,100,59,6,8,12,7,7,4,5,5,"5","4","4","6",6
6,10,61,6,8,1,9,0,4,4,4,7,7,"4","3","3","4",5
11,21,150,31,21,3,4,1,5,5,5,6,7,"4","5","4","5",5
13,21,150,32,20,3,4,1,5,5,5,6,7,"5","4","4","6",6
44,25,130,101,59,6,8,12,7,7,5,5,4,"5","4","4","7",6
36,78,181,44,65,4,9,2,6,6,6,6,6,"4","5","6","6",7
7,11,60,6,9,1,9,0,4,4,4,7,7,"4","3","3","4",6
12,21,150,32,22,3,4,0,5,5,5,6,7,"5","5","4","6",6
45,26,130,100,58,6,8,12,7,7,5,6,4,"5","4","4","6",6
45,26,130,100,58,6,8,12,7,7,4,5,4,"5","4","3","7",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
45,25,131,99,58,6,8,12,6,7,4,6,5,"5","4","4","6",6
13,20,149,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
45,26,130,99,58,6,8,12,7,7,5,5,5,"5","4","4","7",6
7,11,61,6,9,0,9,0,4,4,4,7,7,"4","3","3","4",5
6,10,60,6,9,1,9,0,4,4,4,7,7,"3","4","3","4",5
46,26,130,100,58,6,8,12,7,7,4,6,4,"5","4","4","7",6
36,78,180,45,64,4,9,2,6,5,6,6,6,"4","5","6","6",7
12,21,149,33,22,3,5,1,5,5,5,6,7,"5","5","4","5",6
12,22,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,21,149,32,20,3,4,0,5,5,5,6,7,"5","4","4","5",6
13,21,149,32,22,3,4,0,5,5,5,6,7,"4","5","4","5",6
46,27,130,99,58,6,8,12,6,7,5,5,4,"5","4","4","7",6
12,21,151,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
11,22,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"4","4","4","5",6
12,21,149,32,21,3,4,1,5,5,5,6,7,"5","5","4","6",6
36,78,180,46,65,4,9,2,6,6,6,6,6,"4","5","6","6",7
11,21,149,32,22,3,4,0,5,5,5,7,7,"5","4","4","5",5
12,21,149,32,21,3,5,1,5,5,5,6,7,"5","4","4","5",6
45,27,130,100,57,6,8,12,6,7,4,5,4,"5","4","4","6",6
12,20,151,32,20,3,4,0,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
12,21,151,32,22,3,4,1,5,5,5,6,7,"5","4","4","5",5
11,21,150,32,20,3,4,1,5,5,5,7,7,"5","4","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
12,20,150,32,21,3,4,0,5,5,5,6,7,"4","5","4","5",6
6,11,60,6,9,1,8,0,4,4,4,6,7,"4","4","3","4",5
6,11,59,5,9,1,9,0,4,3,4,7,7,"4","4","3","4",6
45,25,130,100,58,6,8,12,7,7,5,5,5,"5","4","3","6",6
36,78,180,46,64,4,9,2,6,5,6,6,6,"4","4","6","6",7
12,20,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
12,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","5",6
45,25,130,100,57,6,8,12,7,6,4,6,4,"5","4","4","7",6
36,78,180,45,64,4,9,2,6,5,6,6,5,"4","5","6","6",7
45,27,130,100,58,6,8,12,6,7,4,5,4,"5","4","3","6",6
12,21,150,33,20,3,4,0,5,5,5,6,6,"4","4","4","5",6
36,78,180,45,64,4,9,3,6,6,6,6,6,"4","5","6","6",7
12,21,150,32,22,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,22,3,4,0,5,5,5,6,7,"5","4","4","5",6
46,26,129,100,59,6,8,12,7,7,4,5,4,"5","4","4","7",6
6,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
13,21,150,32,21,3,4,0,5,5,5,6,7,"5","5","4","6",6
6,11,60,6,9,1,9,0,4,4,4,7,7,"3","4","3","4",5
6,11,60,6,10,1,8,0,4,4,4,7,7,"4","4","3","4",5
12,21,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
6,10,60,7,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
13,21,150,32,21,3,4,0,5,5,5,6,6,"5","4","4","6",6
12,21,150,31,22,3,4,1,5,5,5,7,7,"4","4","4","5",6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,21,151,32,21,3,4,0,5,5,5,6,7,"5","4","4","5",6
13,21,150,32,21,3,4,0,5,5,5,6,7,"5","4","4","6",6
7,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
44,26,130,100,58,6,8,12,6,7,4,5,4,"5","4","3","6",6
12,21,151,32,21,3,4,1,5,5,5,6,7,"5","4","4","5",6
6,11,60,6,10,1,9,0,4,4,4,7,7,"4","4","3","4",5
36,78,180,45,64,5,9,2,6,6,6,6,6,"4","5","6","6",7
36,79,180,45,64,4,9,2,6,5,6,6,6,"5","5","6","6",7
36,78,180,46,64,4,9,2,6,6,6,6,6,"5","4","6","6",7
36,78,180,46,64,4,9,2,6,6,6,6,6,"5","5","6","6",7
6,10,59,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,20,150,33,20,3,4,0,5,5,5,6,7,"4","4","4","6",6
13,21,150,33,22,3,4,0,5,5,5,7,7,"5","4","4","5",6
5,11,60,6,9,1,9,0,4,4,4,7,7,"4","4","3","4",5
12,21,151,32,21,3,4,1,5,5,5,6,7,"5","5","4","6",6
45,27,129,100,58,6,8,12,7,7,4,6,4,"5","4","3","6",6
46,26,129,100,58,6,8,12,7,6,5,5,4,"5","4","4","6",6
13,21,150,32,22,3,4,1,5,5,5,6,7,"5","5","4","5",6
12,21,150,32,21,3,4,1,5,5,5,6,7,"5","4","4","6",6
46,25,130,99,59,6,8,12,6,7,4,6,4,"5","4","4","6",6
